name,time,ppid,pid,subp
firefox.exe,2025-01-03 16:55:40.000000 UTC,4060,3036,25
svchost.exe,2025-01-03 16:50:13.000000 UTC,548,628,14
WmiPrvSE.exe,2025-01-03 17:11:13.000000 UTC,628,4124,1
csrss.exe,2025-01-03 16:50:12.000000 UTC,356,364,1
smss.exe,2025-01-03 16:50:11.000000 UTC,4,260,1
ShellExperienc,2025-01-03 16:51:03.000000 UTC,628,2064,0
Taskmgr.exe,2025-01-03 17:10:50.000000 UTC,8112,8136,0
MpCmdRun.exe,2025-01-03 17:10:10.000000 UTC,7052,7292,0
smartscreen.ex,2025-01-03 17:10:06.000000 UTC,628,6344,0
FTK Imager.exe,2025-01-03 17:02:19.000000 UTC,2856,1380,0
ApplicationFra,2025-01-03 16:56:02.000000 UTC,628,712,0
fontdrvhost.ex,2025-01-03 16:54:00.000000 UTC,488,1604,0
msdtc.exe,2025-01-03 16:52:21.000000 UTC,548,3464,0
dllhost.exe,2025-01-03 16:52:20.000000 UTC,628,3472,0
ServerManager.,2025-01-03 16:51:06.000000 UTC,2312,3248,0
SearchUI.exe,2025-01-03 16:51:04.000000 UTC,628,2216,0
System,2025-01-03 16:50:11.000000 UTC,0,4,0
explorer.exe,2025-01-03 16:51:01.000000 UTC,2592,2856,0
taskhostw.exe,2025-01-03 16:51:00.000000 UTC,888,2276,0
sihost.exe,2025-01-03 16:51:00.000000 UTC,888,2220,0
RuntimeBroker.,2025-01-03 16:50:59.000000 UTC,628,2144,0
NisSrv.exe,2025-01-03 16:50:23.000000 UTC,548,2676,0
MsMpEng.exe,2025-01-03 16:50:16.000000 UTC,548,1832,0
dwm.exe,2025-01-03 16:50:13.000000 UTC,488,780,0
lsass.exe,2025-01-03 16:50:13.000000 UTC,444,556,0
services.exe,2025-01-03 16:50:13.000000 UTC,444,548,0
winlogon.exe,2025-01-03 16:50:12.000000 UTC,428,488,0
wininit.exe,2025-01-03 16:50:12.000000 UTC,356,444,0
userinit.exe,2025-01-03 16:51:01.000000 UTC,488,2592,0
