TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0xe38cb727f6c0,98,-,N/A,False,2025-01-03 16:50:11.000000 UTC,N/A,Disabled
0,260,4,smss.exe,0xe38cb79de040,2,-,N/A,False,2025-01-03 16:50:11.000000 UTC,N/A,Disabled
0,364,356,csrss.exe,0xe38cb7aa2440,9,-,0,False,2025-01-03 16:50:12.000000 UTC,N/A,Disabled
0,428,260,smss.exe,0xe38cb7d79380,0,-,1,False,2025-01-03 16:50:12.000000 UTC,2025-01-03 16:50:12.000000 UTC,Disabled
0,436,428,csrss.exe,0xe38cb7d95340,11,-,1,False,2025-01-03 16:50:12.000000 UTC,N/A,Disabled
0,444,356,wininit.exe,0xe38cb7d9a080,1,-,0,False,2025-01-03 16:50:12.000000 UTC,N/A,Disabled
0,488,428,winlogon.exe,0xe38cb7980080,4,-,1,False,2025-01-03 16:50:12.000000 UTC,N/A,Disabled
0,548,444,services.exe,0xe38cb7f8c080,5,-,0,False,2025-01-03 16:50:13.000000 UTC,N/A,Disabled
0,556,444,lsass.exe,0xe38cb7f89080,7,-,0,False,2025-01-03 16:50:13.000000 UTC,N/A,Disabled
0,628,548,svchost.exe,0xe38cb7fdc4c0,17,-,0,False,2025-01-03 16:50:13.000000 UTC,N/A,Disabled
0,672,548,svchost.exe,0xe38cb83ed180,10,-,0,False,2025-01-03 16:50:13.000000 UTC,N/A,Disabled
0,780,488,dwm.exe,0xe38cbae30080,12,-,1,False,2025-01-03 16:50:13.000000 UTC,N/A,Disabled
0,888,548,svchost.exe,0xe38cbaeac500,46,-,0,False,2025-01-03 16:50:14.000000 UTC,N/A,Disabled
0,896,548,svchost.exe,0xe38cbaeb8340,19,-,0,False,2025-01-03 16:50:14.000000 UTC,N/A,Disabled
0,904,548,svchost.exe,0xe38cbaebd800,23,-,0,False,2025-01-03 16:50:14.000000 UTC,N/A,Disabled
0,948,548,svchost.exe,0xe38cbaee1800,12,-,0,False,2025-01-03 16:50:14.000000 UTC,N/A,Disabled
0,964,548,svchost.exe,0xe38cbaeea800,18,-,0,False,2025-01-03 16:50:14.000000 UTC,N/A,Disabled
0,624,548,svchost.exe,0xe38cbaf45800,24,-,0,False,2025-01-03 16:50:14.000000 UTC,N/A,Disabled
0,1076,548,svchost.exe,0xe38cb82032c0,20,-,0,False,2025-01-03 16:50:14.000000 UTC,N/A,Disabled
0,1132,548,svchost.exe,0xe38cb824f800,6,-,0,False,2025-01-03 16:50:14.000000 UTC,N/A,Disabled
0,1360,548,svchost.exe,0xe38cb82eb080,6,-,0,False,2025-01-03 16:50:15.000000 UTC,N/A,Disabled
0,1696,548,svchost.exe,0xe38cb83d3800,11,-,0,False,2025-01-03 16:50:16.000000 UTC,N/A,Disabled
0,1776,548,svchost.exe,0xe38cb8006800,5,-,0,False,2025-01-03 16:50:16.000000 UTC,N/A,Disabled
0,1784,548,svchost.exe,0xe38cb800f800,9,-,0,False,2025-01-03 16:50:16.000000 UTC,N/A,Disabled
0,1832,548,MsMpEng.exe,0xe38cb83e6340,27,-,0,False,2025-01-03 16:50:16.000000 UTC,N/A,Disabled
0,2676,548,NisSrv.exe,0xe38cbb0bf800,3,-,0,False,2025-01-03 16:50:23.000000 UTC,N/A,Disabled
0,2144,628,RuntimeBroker.,0xe38cb81a2080,12,-,1,False,2025-01-03 16:50:59.000000 UTC,N/A,Disabled
0,2208,548,svchost.exe,0xe38cbb1de080,7,-,1,False,2025-01-03 16:51:00.000000 UTC,N/A,Disabled
0,2220,888,sihost.exe,0xe38cbb1f8800,10,-,1,False,2025-01-03 16:51:00.000000 UTC,N/A,Disabled
0,2276,888,taskhostw.exe,0xe38cb8140080,11,-,1,False,2025-01-03 16:51:00.000000 UTC,N/A,Disabled
0,2592,488,userinit.exe,0xe38cbb202080,0,-,1,False,2025-01-03 16:51:01.000000 UTC,2025-01-03 16:51:31.000000 UTC,Disabled
0,2856,2592,explorer.exe,0xe38cbb239800,70,-,1,False,2025-01-03 16:51:01.000000 UTC,N/A,Disabled
0,2064,628,ShellExperienc,0xe38cbb2a4800,28,-,1,False,2025-01-03 16:51:03.000000 UTC,N/A,Disabled
0,2216,628,SearchUI.exe,0xe38cbb2e3800,16,-,1,False,2025-01-03 16:51:04.000000 UTC,N/A,Disabled
0,3248,2312,ServerManager.,0xe38cbb3d3800,13,-,1,False,2025-01-03 16:51:06.000000 UTC,N/A,Disabled
0,3472,628,dllhost.exe,0xe38cb75b3340,2,-,1,False,2025-01-03 16:52:20.000000 UTC,N/A,Disabled
0,3464,548,msdtc.exe,0xe38cb75c7800,9,-,0,False,2025-01-03 16:52:21.000000 UTC,N/A,Disabled
0,1604,488,fontdrvhost.ex,0xe38cb75d8080,5,-,1,False,2025-01-03 16:54:00.000000 UTC,N/A,Disabled
0,3036,4060,firefox.exe,0xe38cb818b500,89,-,1,True,2025-01-03 16:55:40.000000 UTC,N/A,Disabled
0,3968,3036,firefox.exe,0xe38cb75b9080,22,-,1,True,2025-01-03 16:55:41.000000 UTC,N/A,Disabled
0,3624,3036,firefox.exe,0xe38cbb380080,5,-,1,True,2025-01-03 16:55:41.000000 UTC,N/A,Disabled
0,3828,3036,firefox.exe,0xe38cbb539800,17,-,1,True,2025-01-03 16:55:43.000000 UTC,N/A,Disabled
0,2420,3036,firefox.exe,0xe38cbb711800,5,-,1,True,2025-01-03 16:55:44.000000 UTC,N/A,Disabled
0,4076,3036,firefox.exe,0xe38cbb116080,17,-,1,True,2025-01-03 16:55:45.000000 UTC,N/A,Disabled
0,3132,3036,firefox.exe,0xe38cbb1e1080,5,-,1,True,2025-01-03 16:55:47.000000 UTC,N/A,Disabled
0,712,628,ApplicationFra,0xe38cbb573080,1,-,1,False,2025-01-03 16:56:02.000000 UTC,N/A,Disabled
0,5044,3036,firefox.exe,0xe38cbb7c8800,5,-,1,True,2025-01-03 16:56:43.000000 UTC,N/A,Disabled
0,4772,3036,firefox.exe,0xe38cbb0d6300,18,-,1,True,2025-01-03 16:57:38.000000 UTC,N/A,Disabled
0,1380,2856,FTK Imager.exe,0xe38cbb82e800,20,-,1,False,2025-01-03 17:02:19.000000 UTC,N/A,Disabled
0,5324,3036,firefox.exe,0xe38cbba94080,19,-,1,True,2025-01-03 17:09:52.000000 UTC,N/A,Disabled
0,5804,3036,firefox.exe,0xe38cbb261080,19,-,1,True,2025-01-03 17:09:56.000000 UTC,N/A,Disabled
0,2308,3036,firefox.exe,0xe38cbbb44080,19,-,1,True,2025-01-03 17:09:56.000000 UTC,N/A,Disabled
0,2712,3036,firefox.exe,0xe38cbba16080,19,-,1,True,2025-01-03 17:09:56.000000 UTC,N/A,Disabled
0,3328,3036,firefox.exe,0xe38cbb8c6800,19,-,1,True,2025-01-03 17:09:56.000000 UTC,N/A,Disabled
0,6256,3036,firefox.exe,0xe38cbb884800,19,-,1,True,2025-01-03 17:09:56.000000 UTC,N/A,Disabled
0,5288,3036,firefox.exe,0xe38cbb8a9800,19,-,1,True,2025-01-03 17:09:56.000000 UTC,N/A,Disabled
0,5664,3036,firefox.exe,0xe38cbb7c9080,19,-,1,True,2025-01-03 17:09:56.000000 UTC,N/A,Disabled
0,5196,3036,firefox.exe,0xe38cbb8c0800,19,-,1,True,2025-01-03 17:09:56.000000 UTC,N/A,Disabled
0,4508,3036,firefox.exe,0xe38cbbbe8800,19,-,1,True,2025-01-03 17:09:59.000000 UTC,N/A,Disabled
0,4344,3036,firefox.exe,0xe38cbbbb8080,19,-,1,True,2025-01-03 17:10:00.000000 UTC,N/A,Disabled
0,928,3036,firefox.exe,0xe38cbbc8c080,19,-,1,True,2025-01-03 17:10:00.000000 UTC,N/A,Disabled
0,740,3036,firefox.exe,0xe38cbb89e400,19,-,1,True,2025-01-03 17:10:01.000000 UTC,N/A,Disabled
0,2252,3036,firefox.exe,0xe38cb7e25080,19,-,1,True,2025-01-03 17:10:01.000000 UTC,N/A,Disabled
0,2920,3036,firefox.exe,0xe38cbbc9e080,19,-,1,True,2025-01-03 17:10:01.000000 UTC,N/A,Disabled
